id,s,g,o,note
123,G,G,G,
124,H,H,G,
125,G,G,G,
126,138000,138000,138000,
127,10.7,10.7,5\ln(\frac{17}{2}),
128,\frac{y-3}{y+3},\frac{y-3}{y+3},\frac{y-3}{y+3},
129,"5/\sin(t),\ \sqrt{7},\ -3\cos(t),\ 2\sqrt{2}\tan(t)","\frac{5}{\sin t},\sqrt{7},-3\cos t,2\sqrt{2}\tan t","5\csc t,\ \sqrt{7},\ -3\cos t,\ 2\sqrt{2}\,|\,\tan t\,|",
130,r^{42},r^{42},r^{42},
131,0.1084,0.1075,0.108,
132,10.8,10.8,10.8 miles,
133,"-\frac{\sqrt{3}}{2},\,\frac{1}{2},\,-\sqrt{3},\,2","-\frac{\sqrt3}{2},\frac12,-\sqrt3,2","-\frac{\sqrt{3}}{2},\frac{1}{2},-\sqrt{3},2",
134,"1,5,12,20,26,30,31,27.625","1,5,12,20,26,30,31,27.625","1,5,12,20,26,30,31,28",
135,\frac{3}{5},\frac{3}{5},\frac{3}{5},
136,"A,C","A,C","A,B",
137,"2/13,2/1","2/13,2/1","2/13,2/1",
138,7237,7236.81,7236.81 feet,
139,"201, \frac{1}{n(n+1)}","201,\frac{1}{n(n+1)}","201,\frac{1}{n(n+1)}",
140,2744,2744,2744,
141,A,A,A,
142,"7, 8, 9, 10, 11","7, 8, 9, 10, 11","7,8,9,10,11",
143,"0,-8,0,6,3,3\sqrt{3}","(0,-8),(0,6),(3,3\sqrt3)","(0,-8),(0,6),(3,3\sqrt3)",
144,H,E,C,
145,"x/5280,\ 4.735,\ 25000","\frac{x}{5280},4.73,25000","x/5280,4.7348,25000",
146,F,F,F,
147,I,I,I,
148,A,A,A,
149,6.85,6.85,6.86,
150,A,A,A,
151,36,36,1,
152,J,J,874,
153,B,B,B,
154,\18.75,\18.75,18.75,
155,12.17,12.17 ft,12.17,
156,H,H,H,
157,"-7\cos(0.1t)+50\sin(0.1t),\ 46.31","-7\cos(0.1t)+50\sin(0.1t),46.3007","7\cos(0.1 t)-50\sin(0.1 t),-46.31",
158,"A,C","A,C","A,C",
159,"0.07, 0.007, 0.0007","0.07,0.007,0.0007","0.07,0.007,0.0007",
160,"\frac{22+x}{y},Identity Property of Multiplication","\frac{22+x}{y},\frac{22+x}{y},Identity Property of Multiplication","\frac{22+x}{y},Multiplicative Identity Property",
161,\dbinom{2024}{1012},\binom{2024}{1013},2^{2023},
162,B,B,B,
163,"9,-5,4","9,-5,4","9,-5,4",
164,G,H,G,
165,I,I,F,
166,175(\frac{1}{4})^n,175(\frac14)^n,175(\frac14)^{n},
167,"B,A,B,B","Negative,Negative,Positive,Negative","Negative,Negative,Positive,Negative",
168,"A,C,B,B","A,C,B,B","C,C,B,B",
169,400\%,400\%,400\%,
170,F,C,7,
171,20,20,20,
172,\frac{1320}{3721},\frac{1320}{3721},\frac{1320}{3721},
173,C,C,C,
174,"7, \frac{7}{8}","7,\frac{7}{8}","7,\frac{7}{8}",
175,I,I,I,
176,\frac{p - 6k - m}{8},\frac{p-6k-m}{8},\frac{p-6k-m}{8},
177,H,H,E,
178,C,C,C,
179,"29,3,21,1,21,4,19,4,23,3","29,3,21,1,21,4,19,4,23,3","29,3,21,1,21,4,19,4,23,3",
180,-\frac{7}{2}+\frac{1}{2}m,\frac{1}{2}m-\frac{7}{2},\frac12 m - \frac72,
181,A,A,D,
182,E,H,E,
183,D,D,D,
184,J,E,G,
185,"T,F,T,F,T","T,F,T,F,T","T,F,T,F,T",
186,D,D,D,
187,"1.0734, 0.0474, 0.7673, 0.7611, 38, 36, 2, 44, 43","1.1027,0.0424,0.7113,0.7160,46,44,2,51,49",0.3,
188,"60,60,60","60,60,60","60,60,60",
189,850a+1200r=35000,850a+1200r=35000,850a+1200r=35000,
190,-\frac{21}{8},-\frac{21}{8},-\frac{21}{8},
191,"D,A,C,B,E","D,A,C,B,E","D,A,C,B,E",
192,"1.06,(1.88, infty),0.1446,A","0.86,(1.88,\mathrm{infty}),0.1953,A","1.059,(1.88, infty),0.144,Do Not Reject H0",
193,"A, C, D","A,\ C,\ D","A,\;C,\;D",
194,"600, July, 1908, 890, March, 1907","600,September,1907,345,July,1906","600,June,1908,891,February,1907",
195,"(-2.47,\ -0.73)","(-2.386,\,-0.814)","(-2.44,\ -0.76)",
196,"14.7447, 10.3244, 35","14.7447,10.3244,35","14.7447,10.3244,35",
197,"3,4","3,4","3,4",
198,5,0,24,
199,27,51,72,
200,I,I,I,
201,(5t+8)^2,(5t+8)(5t+8),(5t+8)(5t+8),
202,\frac{54}{35},\frac{54}{35},\frac{54}{35},
203,I,I,I,
204,B,E,F,
205,"\frac{3}{4},\frac{11}{20}","\frac34,\frac{11}{20}","3/4,11/20",
206,4,4,4,
207,\frac{14}{5},\frac{14}{5},\frac{14}{5},
208,"16.2, \frac{720}{49\pi}","\frac{81}{5},\frac{720}{49\pi}","\frac{81}{5},\frac{720}{49\pi}",
209,B,B,B,
210,"-\frac{16\sqrt{33}+49\sqrt{3}}{15},\,\frac{2x}{1+x^2}","-\frac{25\sqrt3+16\sqrt{33}}{15},\frac{2x}{1+x^2}","-\frac{(49+16\sqrt{11})\sqrt{3}}{15},\frac{2x}{1+x^{2}}",
211,I,G,I,
212,J,J,J,
213,\frac{2}{9},\frac{2}{9},\frac{2}{9},
214,"11,F,10,T","11,F,10,T","11,F,10,T",
215,752,752,752,
216,60,60,60,
217,C,C,C,
218,\arcsin\!(\frac{7}{10}),\arcsin(\frac{7}{10}),0.775,
219,27,27,27,
220,A,A,A,
221,2750,2750,2750,
222,"1005, C",C,F,
223,A,A,A,
224,2643,2643,2643,
225,"0.6253, 4, 2.776, A","0.600,4,2.776,A","0.625,4,2.776",
226,8,8,8,
227,"A,C","A,C","A,C",
228,v^7,v^7,v^{7},
229,n-1,n-2,"\,k=n-1\,",
230,x = \frac{\ln(0.32)}{\ln(1.6)} = -2.424,\frac{\log(8/25)}{\log(1.6)},-2.424 (approximately),
231,y = \frac{147}{31} + \frac{16}{31}x,y=\frac{16}{31}x+\frac{1029}{217},"y=\frac{147}{31}+\frac{16}{31}\,x",
232,"40, 37, 3","40,37,3","40,37,3",
233,"1.96, -1.96, -5.18, B","1.96,-1.96,-5.18","1.96,-1.96,-5.17,B",
234,29x^7 + 6x^5,29x^7+6x^5,29x^{7}+6x^{5},
235,B,B,B,
236,"6e,-6","6e,-6","6e,-6",
237,50\%,50\%,50\%,
238,"-61,\,61,\,62","-61,61,62","-61,61,62",
239,"35, 3.45","35,3.449","35,\ \frac{15}{4}\sqrt{\frac{11}{13}}",
240,"12,4.9,3.3","12,4.9,3.3","12,4.9,3.3",
241,B,B,B,
242,"241.22, 239.5, 233, 162.89, 12.76, 5.29\%","241.22,239.5,233,205.48,14.33,5.94\%","241.22,239.5,233,221.71,14.90,0.062",
243,"0.8925, 0.2150","0.8925,0.2150","0.8925,0.2150",
244,F,F,F,
245,980,980,980,
246,"25,23,17,23,19","25,23,17,23,19","25,23,17,23,19",
247,"A = 37.062,\ N(t) = \frac{2474}{1+37.062e^{-0.53t}},\ N(25) = 2474","\frac{2409}{65},\frac{2474}{1+\frac{2409}{65}e^{-0.53t}},2473.84","\frac{2409}{65},\;\frac{2474}{1+\frac{2409}{65}e^{-0.53t}},\;2473.84",
248,180,0,180,
249,G,G,G,
250,cohomological,126,48,
251,172.7\%,172.7\%,172.7\%,
252,C,C,C,
253,E,I,E,
254,H,H,H,
255,E,A,E,
256,"-30,30","-30,30","-30,30",
257,"2.52, 3.00, A","2.52,3.00,A","2.52,3.00,A",
258,C,C,C,
259,B,Cannot be determined from the information provided,B,
260,"-22,8","-22,8","-22,8",
261,4,4,4,
262,"850-50t,\ 1480-140t,\ 7","850-50t,1480-140t,7","850-50t,\;1480-140t,\;7",
263,E,H,H,
264,256 pi t^2,256\pi t^2,256\pi t^{2},
265,"A,D","A,D","A,D",
266,D,B,G,
267,C,,C,
268,"4450,14",,"4450,14",
269,"1.755, 0.32, B",,"1.79,0.32,B",
270,1.26,,1.26,
271,"0, 4, -4",,"-4,0,4",
272,B,,B,
273,"-\cos^2(x),\,1,\,2\cos^2(x)",,"-\cos^{2}(x),1,2\cos^{2}(x)",
274,G,,G,
275,2025 \cdot 10^{2024},,No such positive integer k exists,
276,"(1373/2744,\ 0),\ none",,"(1373/2744,0),none",
277,"\38{,}800.00",,"\38,800.00",
278,38,,38,
279,J,,J,
280,H,,H,
281,"-0.4618, 0.8870, -0.5206, -2.1655",,"-0.4618,0.8870,-0.5206,-2.1655",
282,e^2,"-e^2,\ e^2","e^{2}, -e^{2}",
283,114,,114,
284,F,,E,
285,147,,441,
286,H,,H,
287,"212, 136",,"212,136",
288,"96(0.9)^n,\ 27.113,\ 44",,"96(0.9)^{n},27.1,44",
289,"4,9",,"4,9",
290,C,,C,
291,2304,,2304,
292,-2-\sqrt{3},,-2-\sqrt{3},
293,P(t) = 2025t - 4300,,P(t)=2025t-4300,
294,"42,7,6",,"43.2,7.2,6",
295,C,,C,
296,"45,180,270",,"45,180,270",
297,"0.24,(-infty, -1.88)U(1.88, infty),0.8104,C",,"0.237,(-infty, -1.88)U(1.88, infty),0.812,Do Not Reject H0",
298,C,,C,
299,"18805.7, no",,"18805.7,no",
300,6500,,6500,
301,"0.878, 57.2",,"0.878,57.2",
302,H,,H,
303,C,,C,
304,G,,G,
305,B,,B,
306,H,,H,
307,4/3,,4/3,
308,12,,12,
309,83000,,83000,
310,"4k+6,\ 5k-11,\ 5y+4",,"4k+6,5k-11,5y+4",
311,10^{3.2} = 1585,,1.58\times10^{3},
312,20,4,7,
313,-\frac{2\sqrt{14}}{15},,-\frac{2\sqrt{14}}{15},
314,"7,-8,-4",,"7,-8,-4",
315,"B,B,A",,"B,B,A",
316,I,,A,
317,H,,D,
318,"8, \arctan\!(\frac{8}{\sqrt{161}})","8,\arcsin(\frac{8}{15})","8,\arctan\!(\frac{8}{\sqrt{161}})",
319,"False,True,True,False",,"False,True,True,False",
320,"The oxygen level returns to normal, 3.73",,"1,3.73",
321,H,,H,
322,"40  ft, 25  ft, 1000  ft^2",,"40 ft,25 ft,1000 ft^2",
323,"[10,12),[-8,-6),[10,18),[-16,-6)",,"[10,12),[-8,-6),[10,18),[-16,-6)",
324,H,,H,
325,"[0, 280],[0, 14]",,"[0,280],[0,14]",
326,"0.67,0.36,0.06",,"0.67,0.36,0.06",
327,7.6,,7.6,
328,"B,D,A,C",,"iii,i,iv,ii",
329,J,,J,
330,"27, 2613.92",,"27,2613.92",
331,H,,H,
332,"778,624",,"778,624",
333,"54,62",,"54,62",
334,F,,F,
335,E,,E,
336,D,,D,
337,H,,H,
338,"y-axis,origin",,"y-axis,\ origin,\ y=x,\ y=-x",
339,G,,G,
340,"A, C, E, F, H",,"A,\ C,\ F,\ H",
341,"x+125,\ x^{11/6}+5x^{3/2}+5x^{1/3}+25",,"x+125,(\sqrt[3]{x}+5)^{2}",
342,"negative, positive, negative, positive, positive",,"negative,positive,negative,positive,positive",
343,"D,A,C,B,E",,"D,A,C,B,E",
344,-5,,-5,
345,"-5/6,5/6",,"-\frac{5}{6},\frac{5}{6}",
346,"0.7,0.07,0.007",,"0.7,0.07,0.007",
347,F,,B,
348,D,,D,
349,-\frac{2}{15},,-\frac{2}{15},
350,"11100,11001,1100111,1101110,101001101,101010100",,"11100,11001,1100111,1101110,101001101,101010100",
351,A,,A,
352,68,,68,
353,"8, C, 5  and  7, D",,"8,C,5,7,D",
354,"mg, g, tonnes, kg, g",,"milligrams,grams,tons,solar masses,ounces",
355,H,,H,
356,F,,F,
357,"320, 0.06569",,"320,\frac{5}{64\sqrt[4]{2}}",
358,B,,B,
359,D,,D,
360,D,,D,
361,180-7x,,180-7x,
362,(6x+5y)(6x-5y),,(6x-5y)(6x+5y),
363,"10000(0.89)^t,\ 4970,\ 19.7534",,"10000*(0.89)^t,4973,19.77",
364,"Y,N,Y,N",,"Y,N,Y,N",
365,C,,C,
366,G,G,G,
367,"60.3°, 46.3°, 53.3°",,"60.3^\circ,46.3^\circ,53.3^\circ",
368,"C,D,D,E",,"C,D,D,E",
369,"3/4,5,2","\frac34,5,2","\frac34,5,2",
370,"y=-5,\ 10",,"y = -5,10",
371,t = \frac{200}{27} = 7.41  years,,7.41,
372,0.51,,0.51,
373,"50.98,\mu,56.86",,"51.15,56.69",
374,4000,,4000,
375,A,,3.72,
376,1275,,2832,
377,B,,B,
378,"0.000142, 0.0000221, 0.000120, 0.1553, 15.53\%",,"0.000142,0.0000220,0.000120,0.155,15.5",
379,480,,480,
380,"0.075, 0.239, 32000, 16710, 38000, 0.00248, 52000",,"0.075,0.239,32000,16710,38000,0.00248,52000",
381,2040,,2040,
382,"10.4,6.1",,"\frac{187}{18},\frac{55}{9}",
383,80,,80,
384,x = \frac{\ln\!(\frac{11}{32}) - 3}{5},,\displaystyle \frac{\ln\!(\frac{11}{32})-3}{5},
385,"A,A,A",,"A,A,A",
386,3,,3,
387,-230,,-230,
388,"4.1, 3.5, 2.9, 1.2, 0",,"4.11\%,3.52\%,2.94\%,1.17\%,0\%",
389,C,,F,
390,"\frac{3}{25}, -\frac{15}{14}",,"3/25,-15/14",
391,C,I,B,
392,81,,81,
393,"\frac{1}{10}arccos(\frac{x-6}{16}), -10, 22",,"(1/10)\,arccos\!(\frac{x-6}{16}),-10,22",
394,H,,H,
395,"85/3, -95/4, -10/7",,"\frac{85}{3},-\frac{95}{4},-\frac{10}{7}",
396,"(-inf,5),(-3,5]",,"(-inf,5),(-3,5]",
397,"256\pi, \frac{2048\pi}{3}",,"256\pi,\frac{2048\pi}{3}",
398,A,,A,
399,E,,E,
400,E,,E,
401,"\frac{450°}{\pi},\ 240°,\ \frac{165°}{\pi},\ -135°",,"\frac{450}{\pi},240,\frac{165}{\pi},-135",
402,J,J,J,
403,J,,J,
404,52,,52\%,
405,F,,,
406,-7,,-7,
407,C,,C,
408,"5816/9999, 3017/99990, 574/999, 653/9990, 428/999",,"\frac{5816}{9999},\frac{3017}{99990},\frac{574}{999},\frac{3268}{49995},\frac{428}{999}",
409,"(-2.86, 7.08), (-0.10, 4.32)","(-5.0535,11.3001),(-0.5134,6.7599)","[-3.77,7.98],[-0.51,4.72]",
410,"45°, 4  seconds",,"45^\circ,\;4 s",
411,\frac{392\pi}{45},,\frac{392\pi}{45},
412,\frac{4\sqrt{78}-35}{72},,\frac{4\sqrt{78}-35}{72},
413,"0.893, (1.855, infty), 0.20, A","0.893,(1.77,\mathrm{infty}),0.20,\mathrm{A}","0.89,(2.30, infty),0.20,Do Not Reject H0",
414,I,,I,
415,"\sqrt{A/6},\ A,\ (A/6)^{3/2},\ A",,"\sqrt{\frac{A}{6}},A,(\frac{A}{6})^{\frac{3}{2}},A",
416,"11,16",,"11,16",
417,"1.006, 0.97, 28, 29.1, 1.039",,"1.0056,0.9675,28,29.1,1.0393",
418,"2.958, 1.75, 0.0015, B",,"2.96,1.75,0.0016,B",
419,n^2,,"2n\,(n-1)",
420,H,,H,
421,"-\frac{9\sqrt{5}}{20},\ -\frac{\sqrt{5}}{20}",,"-\frac{9\sqrt5}{20},-\frac{\sqrt5}{20}",
422,(N+1)(4N^2+2N+1),,\displaystyle\frac{(2N+1)^3+1}{2},
423,-0.5,,-\frac12^\circ,
424,"parameter,parameter,statistic,statistic",,"parameter,parameter,statistic,statistic",
425,7,,7,
426,11,11,11,
427,E,No listed option,E,
428,"43,55",,"43,55",
429,A,,A,
430,E,,E,
431,"5, 42",,"5,42",
432,"1.2036, 2.1294, 4.3452, 5.2710",,"1.209,\; 2.129,\; 4.351,\; 5.271",
433,C,,C,
434,A,,A,
435,"0.446, 0.537, A",,"0.446,0.537,A",
436,20,,20,
437,"(76.37, 79.63)","(76.37, 79.63)","(76.37, 79.63)",
438,"5,9,1,10,2,0,10,x^3y^7,1",,"5,9,1,10,2,0,10,x^3 y^7,1",
439,-\frac{4}{13},,-\frac{4}{13},
440,G,,G,
441,260,,260,
442,H,,E,
443,G,,G,
444,"113,35,112,61,148,43",,"113,35,112,61,148,43",
445,G,,129,
446,"1.872, 0.972",,"1.873,0.972",
447,x \leq 4,,x\le 4,
448,"x^3-4x^2-6x+30,\ x^2-9x+20",,"x^3-4x^2-6x+30,\;x^2-9x+20",
449,"3.585, 0.0008, B",,"3.585,0.0004,B",
450,I,A,I,
451,"0.129032258064516,0.193548387096774,0.209677419354839,14,0.177419354838710,0.064516129032258","0.129032258064516,0.193548387096774,0.209677419354839,14,0.177419354838710,0.0645161290322581","0.129032258064516,0.193548387096774,0.209677419354839,14,0.17741935483871,0.064516129032258",
452,42,42,42,
453,1013,1350,2,
454,"1.5, 0.9375","1.5,\frac{15}{16}","1.5,15/16",
455,C,C,C,
456,"-7.71, A, B","-7.83,A,B","-2.80,A,B",
457,C,C,G,
458,5,3,3,
459,"\sin^2(A),\ \frac{\cos(A)}{\sin(A)},\ \sec^2(A),\ \frac{1}{\tan(A)},\ \frac{1}{\sin(A)}","\sin^2(A),\frac{\cos(A)}{\sin(A)},\sec^2(A),\frac{1}{\tan(A)},\frac{1}{\sin(A)}","\sin^{2}(A),\frac{\cos(A)}{\sin(A)},\sec^{2}(A),\frac{1}{\tan(A)},\frac{1}{\sin(A)}",
460,"F,F,T,T,T,T,F","F,F,T,T,T,T,F","F,F,T,T,T,T,F",
461,"2, 302","2,302","2,302",
462,"-7,8","-7,8","-7,8",
463,J,J,D,
464,G,G,G,
465,H,H,H,
466,26.9,26.9,26.9,
467,"C=0.0267w+0.03, A, A, 5.0","C= 0.0267w+0.033,\ A,\ A,\ 4.97",5.0,
468,"0.671, 0.882","0.6714,0.8816","0.671,0.882",
469,"s^2,\ 0.1575A,\ 0.1575s^2,\ C,\ 81,\ A 9-ft square deck has area 81 sq ft,\ 14.175,\ Cost to stain 90 sq ft is \14.175,\ 19.0575,\ Cost to stain an 11-ft square deck is \19.0575","s^2,0.1575A,0.1575s^2,C,81,square feet,14.175,dollars,19.0575,dollars","s^2,0.1575 A,0.1575 s^2,C,81,14.175,19.0575",
470,"1.96, 2.201, 2.326, 2.718, 2.576, 3.106","1.960,2.201,2.326,2.718,2.576,3.106","1.96,2.20,2.33,2.72,2.58,3.11",
471,C,C,C,
472,I,I,I,
473,"[-7,-3]","[-7,-3]","[-7,\,-3]",
474,C,E,C,
475,1,\frac{2}{3},\frac13,
476,G,G,G,
477,"A,C","A,C","A,C",
478,-3/10,-\frac{3}{10},-\frac{3}{10},
479,"40.36, 43.64, 40.01, 43.99","40.357,43.643,40.011,43.989","40.36,43.64,40.01,43.99",
480,"2.5,2.5","2.5,2.5","2.5,2.5",
481,A,A,A,
482,H,H,H,
483,A,None of the listed options,A,
484,C,C,C,
485,135,135,135,
486,B,B,B,
487,"-21.1, -0.9637","-21.1,-0.961","-21.1,-0.964",
488,2051326,4050,4050,
489,385,385,385,
490,"23  BTUs per square foot, 410  square feet","23,BTUs/ft^2,410,ft^2","23,BTU/ft^2,410,ft^2",
491,"1255.37, 1091.05, 1419.69, No, Central Limit Theorem","1255.37,1091.05,1419.69,No,Central Limit Theorem","1255.37,1091.05,1419.68,No,Central Limit Theorem",
492,"A,A","A,A","A,A",
493,"14.67, B, 0.0687, 0.1083","14.56,B,0.0687<(p_1-p_2)<0.1083","14.68,Yes,0.069,0.108",
494,"7, 0.062","7,0.062","7,0.062",
495,"100, 100, 200, 0.255, 5.99, B","100,100,200,0.255,5.991,B","100,100,200,0.255,5.99,B",
496,99.594,9.594^\circ,99.6^\circ,
497,"1.1106, 88.8065, 88.8065, 0.9004","1.1106,88.8065^\circ,88.8065^\circ,0.9004","1.1106,\;88.81,\;88.81,\;0.9005",
